electrolyte,max_molality_original,r_M_angstrom,r_X_angstrom,anion_1_delta_G_hydration,anion_1_diffusion_coefficient,anion_1_molecular_weight,anion_1_n_atoms,anion_1_radius_hydrated,anion_1_viscosity_jones_dole,cation_1_delta_G_hydration,cation_1_diffusion_coefficient,cation_1_molecular_weight,cation_1_n_atoms,cation_1_radius_hydrated,cation_1_viscosity_jones_dole,B_MX_0_original,B_MX_1_original,B_MX_2_original,C_MX_phi_original,electrolyte_type_numeric,cation_type_numeric,anion_type_numeric,ln_gamma_at_90RH,RH_actual_for_ln_gamma_90,ln_gamma_at_70RH,RH_actual_for_ln_gamma_70,ln_gamma_at_50RH,RH_actual_for_ln_gamma_50,ln_gamma_at_30RH,RH_actual_for_ln_gamma_30
AgNO3,6.0,1.15,1.79,-242.0,1.902E-05,62.0049,4.0,3.35,-0.043,-492.0,1.648E-05,107.8682,1.0,3.41,0.09,-0.0856,0.0025,0.0,0.0059,11,1,1,0.1078565337,0.9005656566,,,,,,
CsBr,5.0,1.7,1.96,-274.0,2.08E-05,79.904,1.0,3.3,-0.033,-310.0,1.334E-05,132.9054519,1.0,3.29,-0.047,0.0279,0.0139,0.0,0.0,11,1,1,0.0194716521,0.9000545455,,,,,,
CsCl,5.0,1.7,1.81,-300.0,2.032E-05,35.453,1.0,3.32,-0.005,-310.0,1.334E-05,132.9054519,1.0,3.29,-0.047,0.03,0.0558,0.0,0.0004,11,1,1,0.0071150582,0.9007575758,,,,,,
CsCl,5.0,1.7,1.81,-300.0,2.032E-05,35.453,1.0,3.32,-0.005,-310.0,1.334E-05,132.9054519,1.0,3.29,-0.047,0.03,0.0558,0.0,0.0004,11,1,1,0.0071150582,0.9007575758,,,,,,
CsF,3.5,1.7,1.33,-425.0,1.475E-05,18.9984032,1.0,3.52,0.107,-310.0,1.334E-05,132.9054519,1.0,3.29,-0.047,0.1306,0.257,0.0,-0.0043,11,1,0,,,,,,,,
CsI,3.0,1.7,2.2,-236.0,2.045E-05,126.90447,1.0,3.31,-0.073,-310.0,1.334E-05,132.9054519,1.0,3.29,-0.047,0.0244,0.0262,0.0,-0.0037,11,1,1,,,,,,,,
CsNO2,6.0,1.7,1.92,-340.0,1.912E-05,46.0055,3.0,3.35,-0.005,-310.0,1.334E-05,132.9054519,1.0,3.29,-0.047,0.0427,0.06,0.0,-0.0051,11,1,1,,,,,,,,
CsNO3,1.4,1.7,1.79,-242.0,1.902E-05,62.0049,4.0,3.35,-0.043,-310.0,1.334E-05,132.9054519,1.0,3.29,-0.047,-0.0758,-0.0669,0.0,0.0,11,1,1,,,,,,,,
CsOH,1.2,1.7,1.33,-428.0,5.273E-05,17.00734,2.0,3.0,0.122,-310.0,1.334E-05,132.9054519,1.0,3.29,-0.047,0.15,0.3,0.0,0.0,11,1,0,,,,,,,,
HBr,3.0,0.3,1.96,-274.0,2.08E-05,79.904,1.0,3.3,-0.033,-1108.0,9.311E-05,1.00794,1.0,3.58,0.068,0.196,0.3564,0.0,0.0083,11,0,1,,,,,,,,
